hour,avg_turns,session_count,frac_ge2,frac_ge3
0,1.0692129498841743,53097,0.029286023692487336,0.004162193720925853
1,1.0384184068058777,51720,0.017304717710750192,0.002590873936581593
2,1.0253081051905604,33349,0.009925335092506522,0.002128999370295961
3,1.0151813233654665,30498,0.004787199160600695,0.0012131943078234639
4,1.0139551797808992,21999,0.0030001363698349925,0.001227328514932497
5,1.0144460712542704,20490,0.004392386530014641,0.0015129331381161543
6,1.039747142362314,11548,0.006061655697956356,0.002684447523380672
7,1.4826708005757945,9031,0.008304728158564943,0.004982836895138966
8,2.0357333903926396,9347,0.013480261046325024,0.005777254734139296
9,1.2667105335307343,18237,0.045128036409497176,0.008389537752919889
10,1.2687322464373523,41893,0.05771847325328814,0.013773184064163464
11,1.1450130843344832,67256,0.049898893778993696,0.0071815154038301415
12,1.0493289020818335,101401,0.020571789232847804,0.002337255056656246
13,1.068624548522707,84445,0.03133400438155012,0.004890757297649357
14,1.120069989115065,98301,0.044078900519831946,0.007558417513555305
15,1.200274271640872,71462,0.07259802412470964,0.013181830903137333
16,1.1758858489192445,75549,0.07163562720883135,0.01274669419846722
17,1.1347468266145906,71690,0.05611661319570373,0.008913377040033477
18,1.1200446421746242,65409,0.03904661438028406,0.0056261370759375625
19,1.1095078146421717,87528,0.03213828717667489,0.0060095055296590805
20,1.1181614778029414,73298,0.04277060765641627,0.007530901252421621
21,1.1334692697964164,62284,0.05271016633485325,0.009793847537088177
22,1.0999552883898853,60387,0.044810969248348154,0.00771689270869558
23,1.1015714902186422,55616,0.04209220368239355,0.007336018411967779
